instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_FO|70071,70071,FINNIFTY26APR27100PE,FINNIFTY,688.4,2026-04-28,27100.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70072,70072,FINNIFTY26APR27200CE,FINNIFTY,1007.9,2026-04-28,27200.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70075,70075,FINNIFTY26APR27200PE,FINNIFTY,733.35,2026-04-28,27200.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70076,70076,FINNIFTY26APR27300CE,FINNIFTY,956.15,2026-04-28,27300.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70048,70048,FINNIFTY26APR26500PE,FINNIFTY,455.9,2026-04-28,26500.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70050,70050,FINNIFTY26APR26600CE,FINNIFTY,1355.65,2026-04-28,26600.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70056,70056,FINNIFTY26APR26800CE,FINNIFTY,1232.7,2026-04-28,26800.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70057,70057,FINNIFTY26APR26800PE,FINNIFTY,564.25,2026-04-28,26800.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70058,70058,FINNIFTY26APR26900CE,FINNIFTY,1173.8,2026-04-28,26900.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70052,70052,FINNIFTY26APR26600PE,FINNIFTY,490.3,2026-04-28,26600.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70054,70054,FINNIFTY26APR26700CE,FINNIFTY,1293.3,2026-04-28,26700.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70055,70055,FINNIFTY26APR26700PE,FINNIFTY,526.4,2026-04-28,26700.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70060,70060,FINNIFTY26APR26900PE,FINNIFTY,603.85,2026-04-28,26900.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70062,70062,FINNIFTY26APR27000CE,FINNIFTY,1116.75,2026-04-28,27000.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70039,70039,FINNIFTY26APR26400PE,FINNIFTY,423.2,2026-04-28,26400.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70040,70040,FINNIFTY26APR26500CE,FINNIFTY,1419.75,2026-04-28,26500.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70089,70089,FINNIFTY26APR27300PE,FINNIFTY,780.1,2026-04-28,27300.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70090,70090,FINNIFTY26APR27400CE,FINNIFTY,906.1,2026-04-28,27400.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|45548,45548,NIFTY2631025150CE,NIFTY,4.65,2026-03-10,25150.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|70501,70501,MIDCPNIFTY26MAY12250CE,MIDCPNIFTY,0.0,2026-05-26,12250.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|70502,70502,MIDCPNIFTY26MAY12250PE,MIDCPNIFTY,0.0,2026-05-26,12250.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|45547,45547,NIFTY2631025100PE,NIFTY,1040.1,2026-03-10,25100.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45552,45552,NIFTY2631025150PE,NIFTY,1104.0,2026-03-10,25150.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45553,45553,NIFTY2631025200CE,NIFTY,3.95,2026-03-10,25200.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|70508,70508,MIDCPNIFTY26MAY12275CE,MIDCPNIFTY,1485.35,2026-05-26,12275.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|70509,70509,MIDCPNIFTY26MAY12275PE,MIDCPNIFTY,109.55,2026-05-26,12275.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|70515,70515,MIDCPNIFTY26MAY12350PE,MIDCPNIFTY,122.45,2026-05-26,12350.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|70516,70516,MIDCPNIFTY26MAY12375CE,MIDCPNIFTY,1404.45,2026-05-26,12375.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|45538,45538,NIFTY2631024950PE,NIFTY,900.05,2026-03-10,24950.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|70517,70517,MIDCPNIFTY26MAY12375PE,MIDCPNIFTY,127.0,2026-05-26,12375.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|45539,45539,NIFTY2631025000CE,NIFTY,7.1,2026-03-10,25000.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|70518,70518,MIDCPNIFTY26MAY12400CE,MIDCPNIFTY,1384.55,2026-05-26,12400.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|70511,70511,MIDCPNIFTY26MAY12300PE,MIDCPNIFTY,113.75,2026-05-26,12300.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|70512,70512,MIDCPNIFTY26MAY12325CE,MIDCPNIFTY,1444.65,2026-05-26,12325.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|45534,45534,NIFTY2631024900PE,NIFTY,860.6,2026-03-10,24900.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45535,45535,NIFTY2631024950CE,NIFTY,8.2,2026-03-10,24950.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|70513,70513,MIDCPNIFTY26MAY12325PE,MIDCPNIFTY,118.05,2026-05-26,12325.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|70514,70514,MIDCPNIFTY26MAY12350CE,MIDCPNIFTY,1424.5,2026-05-26,12350.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|70510,70510,MIDCPNIFTY26MAY12300CE,MIDCPNIFTY,1464.95,2026-05-26,12300.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|45540,45540,NIFTY2631025000PE,NIFTY,967.35,2026-03-10,25000.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45541,45541,NIFTY2631025050CE,NIFTY,6.15,2026-03-10,25050.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45542,45542,NIFTY2631025050PE,NIFTY,987.9,2026-03-10,25050.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45543,45543,NIFTY2631025100CE,NIFTY,5.15,2026-03-10,25100.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|70519,70519,MIDCPNIFTY26MAY12400PE,MIDCPNIFTY,131.7,2026-05-26,12400.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|45566,45566,NIFTY2631025450PE,NIFTY,1419.3,2026-03-10,25450.0,0.05,65.0,OPTIDX,PE,NSE_FO
