date,fii_buy,fii_sell,fii_net,dii_buy,dii_sell,dii_net
2025-05-06,3482.65,2930.51,552.14,958141.47,934746.88,23394.59
2025-05-07,3831.44,3362.26,469.18,1463493.25,1467961.69,-4468.44
2025-05-08,6639.44,5300.80,1338.64,2662281.87,2574740.00,87541.87
2025-05-09,4653.77,7245.33,-2591.56,960053.12,988936.57,-28883.45
2025-05-12,6763.66,5552.37,1211.29,1292976.01,1285205.01,7771.00
2025-05-13,4327.01,10995.29,-6668.28,1421528.02,1434762.98,-13234.96
2025-05-14,3577.76,3320.25,257.51,1701620.32,1702994.86,-1374.54
2025-05-15,9253.75,5296.04,3957.71,4616685.53,4610105.60,6579.93
2025-05-16,2653.47,4446.36,-1792.89,741465.56,748508.34,-7042.78
2025-05-19,2563.83,2650.58,-86.75,777646.50,776709.44,937.06
2025-05-20,2790.70,5574.90,-2784.20,1148053.28,1141411.22,6642.06
2025-05-21,3535.23,3333.81,201.42,1747614.57,1712315.19,35299.38
2025-05-22,3769.97,6939.22,-3169.25,3396756.73,3442285.86,-45529.13
2025-05-23,5791.42,5639.49,151.93,939041.63,923531.13,15510.50
2025-05-26,6711.44,6146.24,565.20,880061.84,837345.95,42715.89
2025-05-27,11321.14,14310.19,-2989.05,1319875.30,1301168.85,18706.45
2025-05-28,7272.30,9372.50,-2100.20,1327796.27,1426580.77,-98784.50
2025-05-29,8166.63,11031.45,-2864.82,4165320.20,4163534.02,1786.18
2025-05-30,3214.14,4294.71,-1080.57,665009.67,643753.83,21255.84
2025-06-02,3504.83,4451.68,-946.85,904120.23,874002.31,30117.92
2025-06-03,3502.22,6049.21,-2546.99,1194811.10,1218154.33,-23343.23
2025-06-04,2305.43,2248.28,57.15,941179.54,960079.62,-18900.08
2025-06-05,3230.09,4017.49,-787.40,3447900.07,3433446.46,14453.61
2025-06-06,7499.30,5043.19,2456.11,1008749.13,1009531.14,-782.01
2025-06-09,2935.11,3472.77,-537.66,568816.50,575935.61,-7119.11
2025-06-10,2451.88,1891.78,560.10,838901.42,834580.07,4321.35
2025-06-11,3315.96,2070.33,1245.63,1340332.95,1283386.21,56946.74
2025-06-12,3672.62,6010.51,-2337.89,3738169.88,3746632.25,-8462.37
2025-06-13,3733.55,4509.68,-776.13,874267.82,875696.80,-1428.98
2025-06-16,3766.57,3346.19,420.38,999765.17,1006328.80,-6563.63
2025-06-17,3549.73,3155.86,393.87,932409.19,924297.13,8112.06
2025-06-18,3201.44,3157.86,43.58,1427526.15,1441395.18,-13869.03
2025-06-19,3302.42,2876.57,425.85,3344454.10,3314278.26,30175.84
2025-06-20,6422.39,6304.64,117.75,1193815.89,1216181.51,-22365.62
2025-06-23,6223.73,7398.09,-1174.36,1192191.59,1178545.56,13646.03
2025-06-24,12646.69,14104.46,-1457.77,2071072.05,2102876.98,-31804.93
2025-06-25,6913.66,6385.40,528.26,1816975.25,1795882.33,21092.92
2025-06-26,13044.43,8237.76,4806.67,5922656.53,5890383.02,32273.51
2025-06-27,2715.78,2424.98,290.80,841409.04,853460.63,-12051.59
2025-06-30,3070.28,3973.13,-902.85,1048007.24,1058911.63,-10904.39
2025-07-01,2329.10,2444.77,-115.67,872412.88,844765.49,27647.39
2025-07-02,1884.72,3942.21,-2057.49,1849009.41,1865637.74,-16628.33
2025-07-03,2945.88,5389.47,-2443.59,3907212.65,3841721.45,65491.20
2025-07-04,2056.40,2803.85,-747.45,785237.82,786618.99,-1381.17
2025-07-07,2131.82,2799.86,-668.04,753074.66,756859.13,-3784.47
2025-07-08,1982.24,2251.15,-268.91,715600.84,718308.41,-2707.57
2025-07-09,1745.59,2737.02,-991.43,1111788.61,1115075.12,-3286.51
2025-07-10,2456.21,4290.15,-1833.94,2292246.76,2285481.14,6765.62
2025-07-11,2446.48,5984.24,-3537.76,626533.80,629776.15,-3242.35
2025-07-14,2866.55,6144.39,-3277.84,671908.15,681871.93,-9963.78
2025-07-15,2427.25,2580.51,-153.26,773217.37,768879.96,4337.41
2025-07-16,1957.17,2648.13,-690.96,826286.28,826165.28,121.00
2025-07-17,1917.86,3907.09,-1989.23,1658684.39,1644699.10,13985.29
2025-07-18,2889.86,5285.28,-2395.42,621086.65,624616.48,-3529.83
2025-07-21,2926.87,2356.53,570.34,743010.21,752490.32,-9480.11
2025-07-22,1615.78,2413.42,-797.64,655768.48,654271.21,1497.27
2025-07-23,2430.86,1670.85,760.01,952687.24,954244.37,-1557.13
2025-07-24,3823.02,3821.37,1.65,2352625.23,2354481.58,-1856.35
2025-07-25,4404.49,6857.77,-2453.28,840960.21,843401.51,-2441.30
2025-07-28,5341.71,6520.31,-1178.60,1038540.93,1046528.51,-7987.58
2025-07-29,9656.78,10774.07,-1117.29,893066.36,891215.74,1850.62
2025-07-30,8372.18,8817.58,-445.40,1192162.12,1206939.32,-14777.20
2025-07-31,11485.90,12721.66,-1235.76,4652814.66,4644858.14,7956.52
2025-08-01,2100.74,5921.43,-3820.69,877466.61,881060.30,-3593.69
2025-08-04,2340.26,2135.91,204.35,752083.38,752762.37,-678.99
2025-08-05,1500.97,3750.13,-2249.16,688990.00,682161.71,6828.29
2025-08-06,2203.06,1861.30,341.76,1089921.72,1080505.74,9415.98
2025-08-07,3018.35,4149.27,-1130.92,2974385.77,2970511.60,3874.17
2025-08-08,2285.10,4047.44,-1762.34,863054.41,863202.82,-148.41
2025-08-11,2581.09,2031.44,549.65,785092.72,791247.72,-6155.00
2025-08-12,1946.36,2971.44,-1025.08,1156114.60,1155294.24,820.36
2025-08-13,2074.76,1613.94,460.82,1102473.05,1107717.98,-5244.93
2025-08-14,1444.00,1461.85,-17.85,1959581.10,1960793.26,-1212.16
2025-08-18,4847.28,2655.89,2191.39,740634.07,740316.65,317.42
2025-08-19,1488.41,1523.52,-35.11,716491.03,712086.80,4404.23
2025-08-20,2085.20,2408.51,-323.31,972726.44,987291.72,-14565.28
2025-08-21,4141.88,3171.73,970.15,2012970.02,2010886.39,2083.63
2025-08-22,4005.69,4663.41,-657.72,635309.78,637250.19,-1940.41
2025-08-25,12668.51,12463.09,205.42,792479.80,796771.95,-4292.15
2025-08-26,14925.95,16228.84,-1302.89,1316332.42,1311221.43,5110.99
2025-08-28,13106.34,15974.45,-2868.11,4409775.24,4413512.54,-3737.30
2025-08-29,2957.02,4196.04,-1239.02,1148220.25,1155779.80,-7559.55
2025-09-01,2007.31,1514.61,492.70,1177236.90,1187700.89,-10463.99
2025-09-02,1777.09,3250.42,-1473.33,3120394.09,3080320.15,40073.94
2025-09-03,1927.09,2362.88,-435.79,774036.10,793359.58,-19323.48
2025-09-04,2250.62,3323.63,-1073.01,1051695.58,1041388.02,10307.56
2025-09-05,1964.10,2484.30,-520.20,1542671.26,1536775.78,5895.48
2025-09-08,2175.41,2166.21,9.20,1423839.69,1414415.70,9423.99
2025-09-09,1554.13,1273.89,280.24,2241315.22,2246813.85,-5498.63
2025-09-10,3126.28,2427.93,698.35,689285.36,702726.73,-13441.37
2025-09-11,1628.58,992.98,635.60,568571.14,561276.28,7294.86
2025-09-12,2801.13,823.32,1977.81,822723.99,814150.36,8573.63
2025-09-15,1195.91,973.48,222.43,805710.53,810140.86,-4430.33
2025-09-16,4331.81,2126.12,2205.69,2262881.55,2220362.01,42519.54
2025-09-17,3007.11,1299.02,1708.09,696428.08,699961.31,-3533.23
2025-09-18,4180.42,2833.19,1347.23,943177.08,932377.49,10799.59
2025-09-19,3127.68,3731.88,-604.20,1336867.88,1334215.06,2652.82
2025-09-22,2730.04,2255.49,474.55,1563233.21,1572774.34,-9541.13
2025-09-23,2891.48,2484.74,406.74,3847657.71,3839552.65,8105.06
2025-09-24,4048.53,4646.37,-597.84,897622.39,901232.06,-3609.67
2025-09-25,6998.47,7508.00,-509.53,1026139.71,1020583.40,5556.31
2025-09-26,10747.08,14336.46,-3589.38,1729955.23,1723182.01,6773.22
2025-09-29,10894.99,11423.12,-528.13,2548895.94,2545725.57,3170.37
2025-09-30,7496.06,10212.66,-2716.60,4800416.40,4784504.63,15911.77
2025-10-01,3470.83,3598.97,-128.14,1109499.33,1098761.32,10738.01
2025-10-03,1761.85,4115.00,-2353.15,1258745.99,1255081.94,3664.05
2025-10-06,2499.59,4003.05,-1503.46,1775898.01,1772076.58,3821.43
2025-10-07,3779.03,2230.00,1549.03,3979170.61,3963001.32,16169.29
2025-10-08,2362.87,2188.37,174.50,1135292.75,1134205.03,1087.72
2025-10-09,2832.85,2288.29,544.56,1055798.05,1056056.13,-258.08
2025-10-10,3166.83,2307.63,859.20,1348479.40,1338502.35,9977.05
2025-10-13,1771.28,2607.21,-835.93,1774215.47,1775754.30,-1538.83
2025-10-14,3715.92,5367.44,-1651.52,4513116.61,4490032.53,23084.08
2025-10-15,3053.75,2045.56,1008.19,918335.46,919356.92,-1021.46
2025-10-16,7875.65,2808.94,5066.71,1241544.32,1217925.64,23618.68
2025-10-17,7160.48,3169.47,3991.01,2377933.88,2380917.29,-2983.41
2025-10-20,4418.54,3390.26,1028.28,3848431.09,3842885.81,5545.28
2025-10-21,361.20,303.68,57.52,150591.13,154667.27,-4076.14
2025-10-23,10840.39,6188.17,4652.22,1501991.41,1493540.44,8450.97
2025-10-24,10270.36,8934.00,1336.36,2149481.01,2151337.02,-1856.01
2025-10-27,11293.99,11537.16,-243.17,2002162.32,2008975.48,-6813.16
2025-10-28,10809.49,14177.32,-3367.83,5165897.07,5133306.46,32590.61
2025-10-29,2418.05,3640.35,-1222.30,892807.10,895024.57,-2217.47
2025-10-30,1588.59,3978.93,-2390.34,1043181.75,1033248.47,9933.28
2025-10-31,2605.34,4216.91,-1611.57,1616066.22,1605954.31,10111.91
2025-11-03,1896.74,3090.89,-1194.15,1660853.11,1666155.13,-5302.02
2025-11-04,3434.30,5457.55,-2023.25,2782505.82,2723926.09,58579.73
2025-11-06,2091.54,2604.72,-513.18,1043925.08,1049663.42,-5738.34
2025-11-07,2720.13,5441.29,-2721.16,1651845.16,1640222.15,11623.01
2025-11-10,1248.55,2168.37,-919.82,1550319.12,1559413.09,-9093.97
2025-11-11,2186.33,2798.33,-612.00,3443498.88,3434482.41,9016.47
2025-11-12,2478.45,2953.99,-475.54,784666.40,791244.92,-6578.52
2025-11-13,2412.03,1958.41,453.62,1057398.49,1049249.05,8149.44
2025-11-14,2574.87,4448.14,-1873.27,1928763.42,1918317.12,10446.30
2025-11-17,2629.81,2556.84,72.97,1532571.23,1538107.36,-5536.13
2025-11-18,2566.41,2449.89,116.52,2697382.70,2689463.61,7919.09
2025-11-19,2682.37,2445.22,237.15,963465.91,970913.12,-7447.21
2025-11-20,5735.44,5330.86,404.58,1093922.71,1081682.05,12240.66
2025-11-21,10201.54,11023.68,-822.14,1577903.64,1561170.87,16732.77
2025-11-24,11853.21,10286.73,1566.48,1986246.46,1992155.38,-5908.92
2025-11-25,7987.47,10303.01,-2315.54,4377121.63,4376074.69,1046.94
2025-11-26,4225.14,3434.69,790.45,904203.40,911061.94,-6858.54
2025-11-27,3091.14,2344.56,746.58,1103970.12,1094705.92,9264.20
2025-11-28,1622.94,1674.05,-51.11,1123394.62,1118290.51,5104.11
2025-12-01,2400.14,2292.41,107.73,1681967.91,1680420.18,1547.73
2025-12-02,1842.70,4308.05,-2465.35,2965361.27,2955134.81,10226.46
2025-12-03,2871.19,5504.38,-2633.19,880650.72,872296.43,8354.29
2025-12-04,1261.94,3059.82,-1797.88,939269.33,944878.63,-5609.30
2025-12-05,2378.09,2142.71,235.38,1621402.70,1618101.96,3300.74
2025-12-08,2106.24,5548.28,-3442.04,2043031.94,2053875.93,-10843.99
2025-12-09,3158.13,3916.74,-758.61,4150135.50,4108880.99,41254.51
2025-12-10,2194.38,3318.23,-1123.85,1058972.78,1056546.45,2426.33
2025-12-11,3109.11,2817.65,291.46,1210157.55,1220244.48,-10086.93
2025-12-12,1881.59,2539.45,-657.86,1397319.30,1390953.05,6366.25
2025-12-15,2236.80,1762.19,474.61,1687746.06,1694502.03,-6755.97
2025-12-16,1670.53,3437.66,-1767.13,2508922.31,2498132.17,10790.14
2025-12-17,1353.96,2862.54,-1508.58,758522.60,763302.74,-4780.14
2025-12-18,2082.91,2211.72,-128.81,1003494.56,1005578.97,-2084.41
2025-12-19,2807.51,1546.35,1261.16,1198519.39,1197287.37,1232.02
2025-12-22,4172.05,1496.39,2675.66,1087607.58,1084345.57,3262.01
2025-12-23,3757.87,1659.98,2097.89,2131935.48,2137141.93,-5206.45
2025-12-24,3633.12,2600.72,1032.40,821910.47,823517.35,-1606.88
2025-12-26,8979.53,10110.26,-1130.73,1046828.04,1038980.15,7847.89
2025-12-29,11333.79,13041.47,-1707.68,1681074.67,1683061.06,-1986.39
2025-12-30,10683.85,11470.44,-786.59,3435555.75,3420963.91,14591.84
2025-12-31,1890.07,2178.34,-288.27,759829.67,754432.19,5397.48
2026-01-01,1101.47,757.17,344.30,558338.65,561078.53,-2739.88
2026-01-02,3864.64,1505.93,2358.71,1047347.06,1049453.87,-2106.81
2026-01-05,3142.21,2740.76,401.45,1937938.42,1939796.58,-1858.16
2026-01-06,2806.01,2750.16,55.85,2680434.56,2675969.64,4464.92
2026-01-07,1863.00,3312.97,-1449.97,889341.26,890839.91,-1498.65
2026-01-08,2984.87,8269.72,-5284.85,1302741.77,1313930.73,-11188.96
2026-01-09,3034.39,6229.65,-3195.26,1893236.92,1878693.69,14543.23
2026-01-12,4253.83,5481.67,-1227.84,2950179.34,2950144.96,34.38
2026-01-13,3110.75,3815.92,-705.17,4737604.76,4745669.28,-8064.52
2026-01-14,2922.31,3153.90,-231.59,1017257.47,1022268.97,-5011.50
2026-01-16,4664.82,3139.76,1525.06,1931265.93,1914092.99,17172.94
2026-01-19,3430.58,3909.87,-479.29,2253512.23,2261218.71,-7706.48
2026-01-20,4191.55,5651.11,-1459.56,3623455.84,3637561.01,-14105.17
2026-01-21,8452.08,9021.20,-569.12,1860872.39,1870777.39,-9905.00
2026-01-22,12607.13,14564.67,-1957.54,1822969.14,1823952.11,-982.97
2026-01-23,13428.33,15357.58,-1929.25,2298579.51,2276919.83,21659.68
2026-01-27,12285.13,15283.43,-2998.30,5185971.33,5186755.46,-784.13
2026-01-28,3850.77,3670.26,180.51,828677.91,830365.70,-1687.79
2026-01-29,3139.73,4903.05,-1763.32,839802.62,843813.86,-4011.24
2026-01-30,3435.73,4789.55,-1353.82,1092126.36,1079966.41,12159.95
